text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @JohnNI47973385: Once the count is over I hope we have many new faces in Stormont.!
#AE16  #YourVote #stopthedrill",FALSE,0,NA,05/05/16 20:25,FALSE,NA,728319627693072000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jhart1963,2,TRUE,FALSE,NA,NA
"RT @collette_mca: 90 MINUTES to affect the next 5 YEARS

 - have YOU voted yet?! <ed><U+00A0><U+00BD><ed><U+00B7><U+00B3><ed><U+00A0><U+00BC><ed><U+00BE><U+0099> #ae16 

North Antrim- Daith? McKay #1 https://t.co/5jwF?",FALSE,0,NA,05/05/16 20:25,FALSE,NA,728319605182173000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AIMWoundedKnee,1,TRUE,FALSE,NA,NA
"I voted #Girvan 1 for #DUP #SouthAntrim .
@southantrimdup @duponline @DUPleader #ae16",FALSE,0,NA,05/05/16 20:24,FALSE,NA,728319556964520000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",trimjon,0,FALSE,FALSE,NA,NA
"RT @M_McGuinness_SF: With more #AE16 women candidates than any other Party,the significant increase of TD's,MEP's &amp; MLA's will continue. ht?",FALSE,0,NA,05/05/16 20:24,FALSE,NA,728319500559487000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AIMWoundedKnee,19,TRUE,FALSE,NA,NA
RT @Dean_Journalist: It's understood the voter turnout figure in the Foyle constituency so far is sitting between 10 and 12%. @BBCRadioFoyl?,FALSE,0,NA,05/05/16 20:24,FALSE,NA,728319399296422000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",pauldelaney2012,5,TRUE,FALSE,NA,NA
"RT @CoaghUKIP: Just voted 1 UKIP, 2 TUV, 3 &amp; 4 DUP, 5 Ulster Unionist Party , 6 Green Party , 7 Alliance, 8 SDLP, 9 Workers Party - STV PR?",FALSE,0,NA,05/05/16 20:24,FALSE,NA,728319385648140000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",crabshank,1,TRUE,FALSE,NA,NA
RT @dawnpurvis: You get what you vote for and if you don't vote then you get what other people vote for. Use your vote today and be a chang?,FALSE,0,NA,05/05/16 20:23,FALSE,NA,728319339208815000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ascottheyes,49,TRUE,FALSE,NA,NA
RT @Jonny_BelTel: I voted - north Belfast Cavehill turnout at 5pm: 874 out of 2854 which I make to be 30% #ae16,FALSE,0,NA,05/05/16 20:23,FALSE,NA,728319328433639000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",pauldelaney2012,7,TRUE,FALSE,NA,NA
RT @RyanMcAleerUH: Turnout in Carrickmore at noon just under 15%. #WT16 #AE16 - More turnout figures on the live blog https://t.co/P6ITRcgM?,FALSE,0,NA,05/05/16 20:23,FALSE,NA,728319328433615000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",pauldelaney2012,1,TRUE,FALSE,NA,NA
That's a turnout ! #ae16  https://t.co/E8A8DUHAnx,FALSE,0,NA,05/05/16 20:23,FALSE,NA,728319300881269000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Udlah,0,FALSE,FALSE,NA,NA
RT @nkbelfast: Turnout in Belfast at 5pm hitting between 25%-30% #ae16 #parforthecourse,FALSE,0,NA,05/05/16 20:23,FALSE,NA,728319253393363000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",pauldelaney2012,5,TRUE,FALSE,NA,NA
RT @hughmccloy: Moneymore turnout #ae16 @SJAMcBride https://t.co/JPyRqCQmMo,FALSE,0,NA,05/05/16 20:23,FALSE,NA,728319253347217000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",pauldelaney2012,2,TRUE,FALSE,NA,NA
RT @SJAMcBride: Turnout of 32.5% at Wheatfield Primary School (North Belfast) at 5pm. #ae16 https://t.co/hVEF1pN08t,FALSE,0,NA,05/05/16 20:23,FALSE,NA,728319251623326000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",pauldelaney2012,3,TRUE,FALSE,NA,NA
RT @GreenPartyNI: The #greensurge is happening right now thanks to you #VoteGreen2016 #ae16 https://t.co/b428U17nXq,FALSE,0,NA,05/05/16 20:23,FALSE,NA,728319178017538000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SBelfastGreens,3,TRUE,FALSE,NA,NA
RT @MarkMcKelveyUH: Bumped into @RossHusseyMLA on his tour of WT polling stations. Says low turnout everywhere. Approx 30% so far #AE16 htt?,FALSE,0,NA,05/05/16 20:23,FALSE,NA,728319174469095000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",pauldelaney2012,3,TRUE,FALSE,NA,NA
RT @DavogMcCaffrey: 5pm turnout of 26.4% in Mountfield Polling Station (West Tyrone). Steady flow going through station currently #AE16 htt?,FALSE,0,NA,05/05/16 20:23,FALSE,NA,728319172372005000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",pauldelaney2012,4,TRUE,FALSE,NA,NA
RT @markdevenport: I'm on @bbctheview 10.45 pm - if any of you get photos of 9 pm turnout figures you could send me before I go on air I'd?,FALSE,0,NA,05/05/16 20:23,FALSE,NA,728319172367749000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",pauldelaney2012,19,TRUE,FALSE,NA,NA
RT @cgibbo21: Clare Bailey? More like Clare Bae-ley. #gotmyvote #ae16 @ClareBaileyGPNI,FALSE,0,NA,05/05/16 20:23,FALSE,NA,728319164369281000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",J_Elliott94,1,TRUE,FALSE,NA,NA
RT @Dean_Journalist: Turnout figures: It's understood 45 to 50% have voted in the Foyle constituency at this stage. Same for East L'derry.?,FALSE,0,NA,05/05/16 20:23,FALSE,NA,728319156530123000,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",tsoram,2,TRUE,FALSE,NA,NA
RT @felicityhuston: #ae16 Please go out and vote. 100 years ago women were dying here to get the vote. It still matters. Ask anyone living?,FALSE,0,NA,05/05/16 20:23,FALSE,NA,728319154990817000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",francismullaly,12,TRUE,FALSE,NA,NA
RT @VOYPIC: Still got time to vote #AE16 &amp; then call on MLAs to prioritise needs of children in care &amp; care leavers https://t.co/hyXhqj2pn0,FALSE,0,NA,05/05/16 20:23,FALSE,NA,728319138570080000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jogillen0,2,TRUE,FALSE,NA,NA
RT @weepete_: Called in at the @GAPWines polling station and voted for @ShortcrossGin #cheers #ae16 https://t.co/oc1iYaVWip,FALSE,0,NA,05/05/16 20:23,FALSE,NA,728319115845325000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GAPWines,2,TRUE,FALSE,NA,NA
"RT @sandraaphotos: Turn out in Trillick, West Tyrone #ae16 #nielection #westtyrone https://t.co/9nU34WcmMT",FALSE,0,NA,05/05/16 20:22,FALSE,NA,728319084157403000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",pauldelaney2012,1,TRUE,FALSE,NA,NA
RT @Dean_Journalist: Turnout figures: It's understood 45 to 50% have voted in the Foyle constituency at this stage. Same for East L'derry.?,FALSE,0,NA,05/05/16 20:22,FALSE,NA,728319065991827000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BBCRadioFoyle,2,TRUE,FALSE,NA,NA
Turnout figures: It's understood 45 to 50% have voted in the Foyle constituency at this stage. Same for East L'derry. @markdevenport #ae16,FALSE,0,NA,05/05/16 20:21,FALSE,NA,728318810684535000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Dean_Journalist,2,FALSE,FALSE,NA,NA
Really happy to see people out voting this eve #ae16 beautiful skies in bangor,FALSE,0,NA,05/05/16 20:21,FALSE,NA,728318794716819000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jloulo,0,FALSE,FALSE,NA,NA
RT @EmmaMcIlveen: Carniny Primary School at 9pm @SJAMcBride @markdevenport #NorthAntrim #AE16 https://t.co/GnXNoytyxv,FALSE,0,NA,05/05/16 20:21,FALSE,NA,728318738035057000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",markdevenport,2,TRUE,FALSE,NA,NA
@ChristinaMcS Is that not illegal? #ae16,FALSE,0,ChristinaMcS,05/05/16 20:21,FALSE,728311295158694000,728318696674963000,66641559,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",the_MTH,0,FALSE,FALSE,NA,NA
What an exciting day #iVoted #VoteGreen2016 #ae16,FALSE,0,NA,05/05/16 20:20,FALSE,NA,728318347826311000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dougalhorse,0,FALSE,FALSE,NA,NA
"RT @SJAMcBride: Even for North Down, a turnout of 15.8% at 5pm seems very low. #ae16  https://t.co/K8KZsmPmbH",FALSE,0,NA,05/05/16 20:19,FALSE,NA,728318276787446000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HmmMoorhead,11,TRUE,FALSE,NA,NA
This wasn't planned.............<ed><U+00A0><U+00BD><ed><U+00B9><U+0088> #ae16 https://t.co/IAZJasY6GH,FALSE,0,NA,05/05/16 20:19,FALSE,NA,728318195824787000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NiallSF,0,FALSE,FALSE,NA,NA
RT @GreenPartyNI: The #greensurge is happening right now thanks to you #VoteGreen2016 #ae16 https://t.co/b428U17nXq,FALSE,0,NA,05/05/16 20:19,FALSE,NA,728318157698548000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dougalhorse,3,TRUE,FALSE,NA,NA
RT @An_Phoblacht: West Belfast Member of Parliament @PaulMaskeyMP turning the pages of history as voters go to the polls in #ae16 https://t?,FALSE,0,NA,05/05/16 20:19,FALSE,NA,728318132658549000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PaulMaskeyMP,9,TRUE,FALSE,NA,NA
"Turn out in Trillick, West Tyrone #ae16 #nielection #westtyrone https://t.co/9nU34WcmMT",FALSE,0,NA,05/05/16 20:18,FALSE,NA,728317894384361000,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>",sandraaphotos,1,FALSE,FALSE,NA,NA
RT @GreenPartyNI: It's not too late to #VoteGreen2016 #ae16 @StevenAgnew @ClareBaileyGPNI @voterossbrown https://t.co/cpbpRcLo4L,FALSE,0,NA,05/05/16 20:18,FALSE,NA,728317859886158000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dougalhorse,7,TRUE,FALSE,NA,NA
RT @dawnpurvis: You get what you vote for and if you don't vote then you get what other people vote for. Use your vote today and be a chang?,FALSE,0,NA,05/05/16 20:17,FALSE,NA,728317794333413000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",donnarainey4,49,TRUE,FALSE,NA,NA
RT @dawnpurvis: You get what you vote for and if you don't vote then you get what other people vote for. Use your vote today and be a chang?,FALSE,0,NA,05/05/16 20:17,FALSE,NA,728317657599087000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",keavaoloan,49,TRUE,FALSE,NA,NA
RT @NiallSF: Taking time out from #ae16 to remember the man who brought us here. Great to see so many children laughing today too https://t?,FALSE,0,NA,05/05/16 20:17,FALSE,NA,728317623507816000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",johnqui65103749,12,TRUE,FALSE,NA,NA
RT @siobhanmcguigan: 45 mins left to vote. I'll even excuse you going in your jammies. Borrow a small child in jammies to make it look bett?,FALSE,0,NA,05/05/16 20:17,FALSE,NA,728317619594510000,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>",_LaurenAllison_,1,TRUE,FALSE,NA,NA
RT @davidecarroll: my civic duty was completed this evening. my vote went to the @GreenPartyNI #VoteGreen2016 #ae16 #ivoted,FALSE,0,NA,05/05/16 20:17,FALSE,NA,728317600330097000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",green_grainger,2,TRUE,FALSE,NA,NA
@SJAMcBride @McCrossanMLA Boxes 32+ 33 Barrack Street Strabane at 9pm #ae16 #wt16 https://t.co/4wIr3X2p35,FALSE,0,SJAMcBride,05/05/16 20:16,FALSE,NA,728317580474192000,456632163,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PatrickLeo109,0,FALSE,FALSE,NA,NA
RT @Strab_Chronicle: #AE16 LIVE BLOG: Follow our live election updates from #WestTyrone (#WT16) https://t.co/y7GWLVsRvT https://t.co/cs359S?,FALSE,0,NA,05/05/16 20:16,FALSE,NA,728317554255659000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ConorSharkeySC,2,TRUE,FALSE,NA,NA
"RT @M_McGuinness_SF: With more #AE16 women candidates than any other Party,the significant increase of TD's,MEP's &amp; MLA's will continue. ht?",FALSE,0,NA,05/05/16 20:16,FALSE,NA,728317362961846000,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>",southantrimsf,19,TRUE,FALSE,NA,NA
"RT @ianjamesparsley: Remember in South Belfast, North Down and East Antrim it's ALLIANCE 1&amp;2 - to double the representation! #ae16 https://?",FALSE,0,NA,05/05/16 20:15,FALSE,NA,728317248901927000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",dhoneyford,8,TRUE,FALSE,NA,NA
45 mins left to vote. I'll even excuse you going in your jammies. Borrow a small child in jammies to make it look better #ae16 #jammiesvotes,FALSE,1,NA,05/05/16 20:15,FALSE,NA,728317231248101000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",siobhanmcguigan,1,FALSE,FALSE,NA,NA
RT @davidecarroll: my civic duty was completed this evening. my vote went to the @GreenPartyNI #VoteGreen2016 #ae16 #ivoted,FALSE,0,NA,05/05/16 20:15,FALSE,NA,728317207013425000,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",GreenPartyNI,2,TRUE,FALSE,NA,NA
"RT @PaulaJaneB: Glad so many ex-DUP voters switching to Alliance from frustration on social issues.

Neither I nor @duncan_morrow will let?",FALSE,0,NA,05/05/16 20:15,FALSE,NA,728317192291365000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PeterGiffen,11,TRUE,FALSE,NA,NA
Any rumblings from the #ae16 exit polls? Watching with interest from USA.,FALSE,0,NA,05/05/16 20:14,FALSE,NA,728316963282391000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MarkJFinlay,0,FALSE,FALSE,NA,NA
@SJAMcBride @grainnewalsh Fortwilliam McCrory #northbelfast boxes at about 25% and 30% at 5pm #AE16,FALSE,0,SJAMcBride,05/05/16 20:14,FALSE,728295217594552000,728316865970311000,456632163,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BobData,0,FALSE,FALSE,NA,NA
RT @allianceparty: Every vote will count. There's still time to vote Alliance to move Northern Ireland #ForwardFaster #ae16 https://t.co/OV?,FALSE,0,NA,05/05/16 20:10,FALSE,NA,728316054171177000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sarahjay_99,4,TRUE,FALSE,NA,NA
RT @MLAsAndTheLike: Zoe Salmon bravely hides the disappointment of gettting married in Barbados rather than being a DUP candidate #ae16 htt?,FALSE,0,NA,05/05/16 20:10,FALSE,NA,728316024412615000,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",heatherr911,3,TRUE,FALSE,NA,NA
"Less than hour left to vote.

Get off your sofa and make your voice heard in #ae16 https://t.co/FdjrKcBjYG",FALSE,0,NA,05/05/16 20:09,FALSE,NA,728315822549127000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Planet_Belfast,1,FALSE,FALSE,NA,NA
my civic duty was completed this evening. my vote went to the @GreenPartyNI #VoteGreen2016 #ae16 #ivoted,FALSE,4,NA,05/05/16 20:09,FALSE,NA,728315716034830000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",davidecarroll,2,FALSE,FALSE,NA,NA
One hour left to vote! Don't forget your ID &amp; polling card. Vote for a #BetterFuture vote .@NIConservative #AE16 https://t.co/5VHE3nt100,FALSE,0,NA,05/05/16 20:09,FALSE,NA,728315623516836000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",EimhearCF,0,FALSE,FALSE,NA,NA
RT @allianceparty: Every vote will count. There's still time to vote Alliance to move Northern Ireland #ForwardFaster #ae16 https://t.co/OV?,FALSE,0,NA,05/05/16 20:08,FALSE,NA,728315507821183000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PoliticalQueen_,4,TRUE,FALSE,NA,NA
"RT @yesequality2016: Equal love = equal recognition = equal marriage. Equality doesn't do 2nd best, love shouldn't have a 2nd class #AE16 h?",FALSE,0,NA,05/05/16 20:08,FALSE,NA,728315498354577000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Pour_rick,43,TRUE,FALSE,NA,NA
"In our #CrapMinisters poll Car?l N? Chuil?n still enjoys an unhealthy lead. Can Edwin Poots close the gap? #ae16 

https://t.co/uNYXtfCaXp",FALSE,0,NA,05/05/16 20:08,FALSE,NA,728315436593496000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Planet_Belfast,0,FALSE,FALSE,NA,NA
RT @JamesAGardiner: Get out and vote today. #ae16 #NorthernIreland https://t.co/Oo4lOykIPw,FALSE,0,NA,05/05/16 20:08,FALSE,NA,728315435934978000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",peablair,17,TRUE,FALSE,NA,NA
"RT @AmnestyNI: Destroyed women, abandoned babies: why Ireland must move forward on abortion | Emer O?Toole: https://t.co/v6T8qgIbEc #MyBody?",FALSE,0,NA,05/05/16 20:08,FALSE,NA,728315418260038000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",penn_amnesty,5,TRUE,FALSE,NA,NA
RT @conorfitz: Make NI great. Vote @allianceparty #ae16,FALSE,0,NA,05/05/16 20:08,FALSE,NA,728315333413573000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PoliticalQueen_,2,TRUE,FALSE,NA,NA
Just over 50 minutes until polling stations close #ae16,FALSE,0,NA,05/05/16 20:08,FALSE,NA,728315328405615000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",warblingwatson,0,FALSE,FALSE,NA,NA
"RT @M_McGuinness_SF: With more #AE16 women candidates than any other Party,the significant increase of TD's,MEP's &amp; MLA's will continue. ht?",FALSE,0,NA,05/05/16 20:07,FALSE,NA,728315322302894000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",01_martyparty,19,TRUE,FALSE,NA,NA
RT @MLAsAndTheLike: Zoe Salmon bravely hides the disappointment of gettting married in Barbados rather than being a DUP candidate #ae16 htt?,FALSE,0,NA,05/05/16 20:07,FALSE,NA,728315213532008000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",wgeddis,3,TRUE,FALSE,NA,NA
Dunloy boxes at 9pm. 49.1% so far so should be in the 50s by close #ae16 #northantrim https://t.co/VqUtTCQIeL,FALSE,1,NA,05/05/16 20:07,FALSE,NA,728315210893799000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",EvenTheOlives,0,FALSE,FALSE,NA,NA
RT @JamesAGardiner: Get out and vote today. #ae16 #NorthernIreland https://t.co/Oo4lOykIPw,FALSE,0,NA,05/05/16 20:07,FALSE,NA,728315179491045000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",CharlieBGP,17,TRUE,FALSE,NA,NA
REMINDER! Only one hour left to get out there and make your voice heard. #ae16 #sp16 https://t.co/fwZfhJQ2H7,FALSE,1,NA,05/05/16 20:07,FALSE,NA,728315148381860000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",connal99,0,FALSE,FALSE,NA,NA
RT @NickPCousins: Just back from the polling station #VoteGreen2016 #ae16 @thesymbolic,FALSE,0,NA,05/05/16 20:07,FALSE,NA,728315082468405000,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",thesymbolic,1,TRUE,FALSE,NA,NA
"RT @M_McGuinness_SF: With more #AE16 women candidates than any other Party,the significant increase of TD's,MEP's &amp; MLA's will continue. ht?",FALSE,0,NA,05/05/16 20:06,FALSE,NA,728315069927444000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tonkennykerry,19,TRUE,FALSE,NA,NA
"RT @PaulaJaneB: Glad so many ex-DUP voters switching to Alliance from frustration on social issues.

Neither I nor @duncan_morrow will let?",FALSE,0,NA,05/05/16 20:06,FALSE,NA,728315069528982000,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",AndrewRalph7,11,TRUE,FALSE,NA,NA
1 hour left to vote in #AE16 still time to enter our #Democraselfie competition! We are #OwningOurFuture https://t.co/4YGj7GqqHN,FALSE,0,NA,05/05/16 20:06,FALSE,NA,728315049610236000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NUS_USI,0,FALSE,FALSE,NA,NA
RT @GreenPartyNI: The #greensurge is happening right now thanks to you #VoteGreen2016 #ae16 https://t.co/b428U17nXq,FALSE,0,NA,05/05/16 20:06,FALSE,NA,728315016508772000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",green_grainger,3,TRUE,FALSE,NA,NA
RT @ElectionNI: You have to 10pm to cast your vote. #ae16,FALSE,0,NA,05/05/16 20:06,FALSE,NA,728314966730805000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MaryMcCallan1,8,TRUE,FALSE,NA,NA
RT @MLAsAndTheLike: Zoe Salmon bravely hides the disappointment of gettting married in Barbados rather than being a DUP candidate #ae16 htt?,FALSE,0,NA,05/05/16 20:06,FALSE,NA,728314937030914000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TheOncoming,3,TRUE,FALSE,NA,NA
RT @JamesAGardiner: Get out and vote today. #ae16 #NorthernIreland https://t.co/Oo4lOykIPw,FALSE,0,NA,05/05/16 20:06,FALSE,NA,728314931091804000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ht4ecosocialism,17,TRUE,FALSE,NA,NA
"RT @PaulaJaneB: Glad so many ex-DUP voters switching to Alliance from frustration on social issues.

Neither I nor @duncan_morrow will let?",FALSE,0,NA,05/05/16 20:06,FALSE,NA,728314830587867000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",allianceparty,11,TRUE,FALSE,NA,NA
"RT @marianned01: Under two hours to go for the NI Assembly Election 2016 - use your vote, don't waste it! #AE16",FALSE,0,NA,05/05/16 20:05,FALSE,NA,728314785331335000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BeccaAlisonC,7,TRUE,FALSE,NA,NA
RT @CaoimheDuff: Put my 1 and 2 by @duncan_morrow and @PaulaJaneB. It would be lovely if you all did too! #ae16 #SouthBelfast,FALSE,0,NA,05/05/16 20:05,FALSE,NA,728314740125094000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",allianceparty,5,TRUE,FALSE,NA,NA
"RT @ianjamesparsley: Remember in South Belfast, North Down and East Antrim it's ALLIANCE 1&amp;2 - to double the representation! #ae16 https://?",FALSE,0,NA,05/05/16 20:05,FALSE,NA,728314704569971000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",allianceparty,8,TRUE,FALSE,NA,NA
Zoe Salmon bravely hides the disappointment of gettting married in Barbados rather than being a DUP candidate #ae16 https://t.co/JFnrYTaNzQ,FALSE,7,NA,05/05/16 20:05,FALSE,NA,728314695443227000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MLAsAndTheLike,3,FALSE,FALSE,NA,NA
The #greensurge is happening right now thanks to you #VoteGreen2016 #ae16 https://t.co/b428U17nXq,FALSE,4,NA,05/05/16 20:05,FALSE,NA,728314671703458000,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",GreenPartyNI,3,FALSE,FALSE,NA,NA
. @PetraWolsey is calling for modernisation of NI licensing laws. Do you agree? #BelfastHour #MangoStreet #ae16 https://t.co/VT2aO1kwEP,FALSE,4,NA,05/05/16 20:05,FALSE,NA,728314662169793000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HospUlster,0,FALSE,FALSE,NA,NA
RT @thegaysay: <U+26AB><U+FE0F> #DontVoteDUP they have weaponised an equality veto to oppress! #AE16 Please sign here: https://t.co/4G6B7F93Hj https://t.?,FALSE,0,NA,05/05/16 20:05,FALSE,NA,728314655840547000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_Tabbo,18,TRUE,FALSE,NA,NA
Carniny Primary School at 9pm @SJAMcBride @markdevenport #NorthAntrim #AE16 https://t.co/GnXNoytyxv,FALSE,0,NA,05/05/16 20:05,FALSE,NA,728314625645752000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",EmmaMcIlveen,2,FALSE,FALSE,NA,NA
RT @ms_pmccallion: Still time to get out and vote for change in NI! #iVoted for @allianceparty #northbelfast #ae16,FALSE,0,NA,05/05/16 20:05,FALSE,NA,728314620050604000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",naomi_long,2,TRUE,FALSE,NA,NA
RT @GreenPartyNI: #VoteGreen2016 #ae16 @StevenAgnew @ClareBaileyGPNI @voterossbrown https://t.co/CYcUBdhiQu,FALSE,0,NA,05/05/16 20:04,FALSE,NA,728314537376678000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CllrJohnBarry,10,TRUE,FALSE,NA,NA
